"California Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Transportation",182.06275772672382,171.00391352123256,182.3558581555596,178.22845245852932,184.96540636984878,188.2862898918114,193.88044144200765,192.22480719798602,195.0713143095506,200.8935309916706,210.6898962429118,206.8741435847463,216.79792974569918,212.54262319951684,218.7538234381964,220.4895591914332,219.98133905263853,221.37284523009103,205.01928456092702,196.26573583708966,188.21778379075178,183.04850168321778,180.19748480801908,179.1047496141997,181.38356201439404,182.91150266636618,190.65061042030632,194.75414564462298,195.94972105732342,197.42840365387516,154.46275535417476,174.48135880201482,173.15685774644615
"Industry",97.43617860994557,99.66678385633983,97.43878159391264,93.49716913482474,92.5217414085278,93.10153464588849,94.38286686057083,98.28060044041968,98.70010553895261,95.0432268201014,96.48770124144355,94.78446606267488,96.90314062042984,96.32145762418773,101.26741424157821,97.99735259171611,97.1837247048124,96.36419481159032,91.79202886277729,86.12563096010092,86.23370323954295,86.06116502492343,86.77088790942473,92.13738829165847,88.78652170762744,90.70990060827113,89.85153012261522,88.65372254053152,89.1990503965427,88.96866905994459,81.81936996394455,81.1776027456583,81.15316092318021
"Commercial",57.41935956679684,57.514878507189636,54.354200184804576,48.64080647887795,47.691968234730815,47.27925179463863,43.2002304350335,40.77952118035894,41.46850562844521,37.71376332202933,37.642380109748544,37.128240781034506,36.377085425761024,36.97798300210146,36.776293994751605,36.88594655114277,37.03547883138445,37.77335972176869,38.46805246567912,38.30512634372276,36.03148726661223,36.82961193854152,37.421603515980685,37.19085323360349,36.38483694926743,40.472365699972926,38.68524419750166,39.57691085432268,38.99826178300952,40.63003171838169,39.18076808308793,39.37205160357628,40.112157973155156
"Electric power industry",43.00657145099577,40.59790525690712,48.10920118629508,44.49054858555833,51.82169965929369,39.469204211263104,35.15889340399466,37.60331856951706,41.00909758260831,45.03771274898614,54.759806946917344,59.62808511569563,45.81212565767308,44.70522660358563,48.47639855216775,43.972820636021694,48.501353355806025,51.98579829002683,52.78753322558522,49.85118835629174,45.43256004107128,38.02296994770823,49.656122416502264,47.506002809432175,48.0016924102887,45.96321947315279,38.200329405483316,34.42991167941151,34.940040881251356,32.44654947018626,35.09584165825519,36.717953188809105,36.79185393561434
"Agriculture",32.74066347582831,30.835749739072554,31.331963459867225,32.28595960493845,33.046000329665404,33.71250765815158,34.57817951654716,35.85538173534765,35.38317651061893,36.63776701182617,38.27861100886767,39.16528045628967,40.35720143455931,40.06790013884657,40.79264212996253,40.45775987488123,41.91993999967688,41.159273181739536,42.713060871394866,40.19172817056744,41.15289422337372,41.19416424393825,41.17377588594418,40.912933759334926,42.16735531273418,41.48646920162689,40.297007687204626,39.58801013432684,38.91458455298413,38.117896100090775,38.109458214013635,36.96526785591254,36.56334007177485
"Residential",30.344100804137437,30.258881232193907,28.221662491194802,29.530096493331673,30.138908305655214,28.359624282217837,28.687823331338535,28.380988044658054,33.906942388142845,33.6673798705494,29.406860390285633,30.317307878073755,30.252814195472087,29.828555503313446,30.844499744305605,29.413815546377904,29.725898593165518,30.03538281758658,30.410738240761333,30.204466641346954,31.16925625767579,32.162692089634575,30.018248534293484,30.762272870976133,26.28421828260504,26.91511249894836,27.749071942887834,28.859202250844714,28.79192346813786,31.56571666376262,31.374010400229345,31.878195313012526,31.35268699714153
"Gross total",443.00963163442776,429.87811211293564,441.81166707163396,426.6730327560604,440.1857243077217,430.2084124839711,429.88843498949234,433.1246171682874,445.5391419583185,448.993380765163,467.26525594017465,467.8975238785147,466.5002970795945,460.44374607155163,476.91107210096214,469.2172543915729,474.34773453748386,478.690854052803,461.1906982271248,440.94387630911945,428.2376848190277,417.3191049279638,425.2381230701644,427.61420057920486,423.0081866769168,428.4585701483383,425.43379377599905,425.8619031040603,426.793582139249,429.15726666624107,380.0422036737054,400.5924295089835,399.13005764731224
