"West Virginia Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electric power industry",72.14990281328018,67.06976704323785,68.9587514136231,68.76906351168157,75.04822496131918,74.72977177935239,79.91173527360354,83.94986973127223,84.9321233409724,87.67359922419188,86.29980741038555,76.62006189303277,88.9609341704089,88.17603618943089,84.2363628734511,87.43271354172053,87.71498455766155,89.06506673602154,86.60877250428591,67.64906811685141,76.28607154002903,74.08560422410709,68.86536455876305,70.78152785387825,75.62741147330071,68.10014032277097,71.03473382487839,67.39865780688365,62.437810224812615,58.96940933077057,51.60129929759731,60.373212656378264,52.77977830267565
"Industry",73.30742830498916,70.94409754421962,71.09377107194176,63.89146043175311,64.00003281023037,62.55448962588761,64.44177246788745,61.643281971523244,63.67439613223861,64.12873160865931,40.9070655410898,42.9324040521696,41.304415766313134,38.0023126453228,40.28793640257155,39.5685958214723,40.34495261893658,40.68447704564329,45.501536309316045,42.642891507942906,42.12633829782397,39.24312089510756,37.692599683968105,39.44356334802543,42.89359417770436,42.01181214486266,39.00706119957071,42.347817324224344,42.05058749711338,39.30919291214771,39.42401497602854,38.17959006065211,42.237990517127905
"Transportation",10.23102897843351,9.97411601813499,11.055901380780783,11.312880995039592,11.962803532368298,12.141563073797803,11.227768176606194,12.525299022598542,12.711236760027724,12.784128381136298,12.987482818224855,12.795043734049303,12.764476208061227,12.000504842228938,12.328680372374155,12.218137998426396,12.144929925456248,12.107027285201177,11.165758346745173,11.74350748778085,11.99969329619016,11.558091269608374,12.070820448869162,11.529656686241903,11.709316351990429,12.317989382569513,11.054849028332923,12.014717929983469,13.695926060499911,13.736779604673469,11.646386779970632,13.822764429346366,13.372721249773717
"Commercial",2.9163726917726738,3.035796456903261,3.0081049924552623,2.8568442452401053,2.965422685671714,2.9436319631316206,3.1688242153410924,2.9756291206361483,3.0092240359483586,3.1006444038086602,3.2273110599763783,2.9563542525183837,2.6517438962529853,2.8209638341080967,2.7408640823068566,2.7518779270903875,2.6116371827555858,2.5985127963834387,2.64294190631128,2.6674639622943057,3.330180892718357,3.150961883687609,2.99375774767862,3.0694301614898034,3.022801935968037,3.027841978110911,2.9574006290784287,2.885925172842788,3.083483475034977,3.0775500853447326,2.886287030689248,2.9033466053768464,2.9855691951706858
"Residential",2.460732832412427,2.391551475516549,2.5153042717951775,2.5773446307899577,2.569486942787441,2.5233465590124657,2.7547294523403707,2.733230504705511,2.3406090938571853,2.489626660179364,2.488254222834289,2.504561972304563,2.2838278836245323,2.369870366518142,2.351917665949608,2.2567854933567206,2.1351778959547265,2.0375218321268744,2.074769296533285,2.06143200857755,2.1569222748671586,2.0245123784342973,1.7914987340171935,2.184704652466092,2.2501551990822573,2.0003366672022422,1.843005381015467,1.7234165857284653,2.0374812409194587,1.9463052492885013,1.9172921200237991,1.9621267689387303,2.0772658620418456
"Agriculture",1.6421824695236158,1.6113610764297739,1.673261482566931,1.6932666562239753,1.674957667043064,1.655272334121997,1.685468025168213,1.5419707003064262,1.5349387113010104,1.57775271761953,1.5492266559102685,1.5229660333845998,1.5913593963180894,1.5245581966180475,1.5435559720247491,1.7200435385479969,1.660398851167414,1.7259779598732254,1.523415484399614,1.566691435700789,1.4585200627743562,1.5023605591278217,1.4441517803283888,1.515318844509838,1.4486087348345489,1.4131945175354306,1.4714916669210178,1.4267602096833423,1.5167049959789067,1.4141585418679217,1.426496646423337,1.38132917197308,1.3585615733941332
"Gross total",162.70764809041154,155.02668961444203,158.30509461316302,151.1008604707283,158.22092859942006,156.54807533530388,163.19029761094686,165.3692810510421,168.20252807434528,171.75448299559503,147.45914770842117,139.33139193745924,149.55675732097887,144.8942460742269,143.48931736867803,145.94815432061432,146.6120810319321,148.21858365524957,149.5171938475913,128.3310545191478,137.35772636440302,131.56465121007275,124.8581929536245,128.52420154661132,136.95188787288035,128.87131501305174,127.36854172979695,127.79729502934606,124.82199349435926,118.45339572409291,108.90177685073284,118.62236969266539,114.81188670018393
