"Virginia Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Transportation",40.15509078606208,38.53947699353844,39.93407234818409,40.88322317044412,42.10186763643451,43.0368575241936,44.11748427210536,45.6388185100099,47.02137422456103,48.84763458382048,50.616776996323374,50.48985496515365,50.49466444892775,52.82522240930295,55.593418765761704,55.39948029701159,55.011702174882785,56.072125006113424,52.121736899913664,50.253171313392464,52.297039277120405,49.41664409897994,50.210358836849814,49.44304756161164,51.20671569825056,50.77871066390596,52.300917509014944,52.62168233663438,53.05188999325432,52.758196165664415,46.90344008100942,50.64473176879937,48.971910151738385
"Electric power industry",24.569896493162133,26.54518008886278,28.39013677313989,32.91393497340273,30.815773094019484,32.20202987071898,35.023836978331296,36.363339654446236,38.63647368256564,39.6872224103989,44.57092761655633,44.1828077882253,43.55486687872046,43.027494479018394,42.55439880962076,43.40173671508098,39.24356929983043,43.871007319967006,38.42657190603385,33.01894926532023,35.93550964144682,30.020355310842774,26.623654488205947,32.54231428587912,31.923870447073046,33.37792228533308,35.121055856815545,29.58170515229168,31.857593622228247,28.147874468959007,30.099544422654652,25.561573244714268,23.925174118540674
"Industry",49.64597235858585,48.29552838575378,45.944711015075384,39.29718058274439,37.38477014655247,34.44689883076423,34.72214645151846,33.588888413378456,32.297142737003675,31.80768172172008,30.44092754434845,28.985037325087998,28.03351214437425,29.829251285590853,30.000558825156336,29.49578604752162,29.564853793253715,28.783317695657153,27.165896185888922,22.232858223450908,21.9111299945305,21.028860811103094,20.089957847049675,21.028698339116062,18.912559548891426,18.605252381766224,18.52705006837486,19.405412435430293,19.29833773346482,19.413752790463313,18.82167300209608,18.999407657990588,18.31640208655986
"Commercial",8.917585555451033,9.065819070859327,9.288014339815962,10.295428941976711,10.565280240905388,10.754560188288204,11.523798862233468,12.064034891216838,11.87915662137775,11.103285705264858,11.67165737544409,11.096541009002735,10.804990391822283,12.133277721762084,11.850168653074883,11.650762706965738,11.023738474741767,11.150396317680496,11.074416770375931,10.977868498211974,10.706159407411597,10.389465536962504,10.128410377262927,10.56161144694882,10.938733901438265,11.600162508119249,12.21753276241269,11.676860065817158,11.851070881728596,11.902981304030506,11.67126411090948,11.759822218255815,12.035520737845877
"Residential",6.5727441638572035,6.515918045922508,6.986050673922534,7.129065160226064,7.000769064455433,7.24464806134412,8.250240015994084,7.890782995450807,7.188287543666764,7.284030429845871,8.329848123766844,7.683754251772033,7.3849578255643795,8.433486015557175,8.575451970885076,8.571540238135002,7.278895214854565,7.641008320686424,7.122793520773804,7.30217350175952,7.658338687518431,6.998936733943163,5.977747743923379,7.172372073206055,7.754447597625785,7.24957533629677,6.476121262396666,6.336992073703328,7.464243785832759,7.063080714950133,6.767311769756027,7.361140037978227,7.708708909612426
"Agriculture",6.510355461561821,6.595995478870628,6.825068390845361,6.75781872683757,6.761862519771679,6.817135516791649,6.924664899387401,6.511531299426214,6.508961960890487,7.134673455921981,6.685473958698699,6.787831678107578,6.618860621470194,7.010867025557906,6.566434045385491,6.52883293107998,6.50642362098318,6.164557762378805,6.481186331500288,5.956487001533215,6.118303166787101,6.336366323017701,6.213651190823397,6.346448962660681,6.149797400431667,6.223980466857551,5.976482568679628,5.884613115324001,6.222894613443468,5.682647873660139,5.729585872280174,5.515333877662018,5.513005016864128
"Gross total",136.37164481868015,135.55791806380748,137.3680535409832,137.2766515556316,134.63032270213895,134.5021299921008,140.56217147957005,142.05739576392847,143.53139677006533,145.86452830697218,152.3156116151378,149.22582701734927,146.89185231087933,153.25959893678936,155.14043106988424,155.04813893579492,148.62918257854648,153.68241242248328,142.39260161448644,129.74150780366833,134.62648017481484,124.19062881484918,119.24378048411513,127.09449266942238,126.88612459371075,127.83560364227884,130.61916002769433,125.50726517920083,129.7460306299522,124.9685333177275,119.99281925870581,119.84200880540028,116.47072102116135
