"Alaska Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Industry",20.88622802048189,22.98751452585877,24.323014280713885,23.90926838236284,23.718765268079412,27.604370066194026,28.087009392550065,26.223548386298916,26.760017713055916,25.227841701388755,25.31303823251558,25.12623660828105,25.855698106641704,25.813948101083884,24.909486943378084,26.1634940359905,22.588076186990662,22.49979386739311,20.414864354994837,20.785685546187615,19.900848274730937,19.957994704816187,19.58610663890298,19.633430940122658,19.21793017450539,18.937168991157815,18.563309673137272,18.528636389770785,19.06141415805663,18.842332158900735,20.109518529755572,21.435871049898847,24.00104478859171
"Transportation",8.606591130826073,7.470125791268093,7.207951243553218,8.211200977073727,7.884235745880789,8.853500161227451,9.17801020358372,9.716647650234677,10.289724844096352,11.310255359377825,11.951071369839996,11.529548422473784,11.690498775966313,11.947283155224099,14.66024073923974,14.941794675359601,14.821096258301887,13.992893742438426,12.384559836879315,11.107216084155601,10.486721306672079,9.015325651771484,8.569528510824501,7.712812781922211,8.466029017932913,8.019821888245819,7.6942466340121225,7.930273677527417,7.424601909841871,7.7457099209324465,8.083830369489075,9.655481273941971,9.02094911459555
"Electric power industry",2.7902720162722394,2.649666317359132,2.477353934550368,2.496768144824145,2.511927749755493,2.5937050891059372,2.716883537754242,2.9207169482548485,3.1062212768596247,3.2076026832499465,3.331833959204751,3.408486424959554,3.4326038709221103,3.117234097313992,3.3089812722975283,3.3774188526979074,3.620828434487135,3.403715728256778,3.385272786100979,3.281673351820679,3.1824453191737136,3.302146210344717,3.2549738323816495,2.7782747074112026,3.059942348832576,3.0999110152875526,2.89157947379346,2.9151534557098504,2.8012416335277606,2.8370330561508474,2.857543648855054,2.915774313105264,2.9775377277443273
"Commercial",2.6784093042031,2.7609552117476546,2.9851238013987063,2.957742245263944,2.958478366991136,2.897395375896324,3.180830659036562,2.944811857581683,2.9553724005064,3.132379109161164,3.0800307000460823,2.9465600370115443,2.4340761525358934,2.297584603855283,2.5907920079397764,2.534186208240519,2.8881911491725023,2.6812702228656184,2.762012916810488,2.629371164734515,3.522045369967868,3.8099326397290634,3.655552736420013,3.656198334683067,3.4953464303956885,3.702387541543229,3.193386293511225,3.2774856454197314,2.6835449847937904,2.7036148975069967,2.7357582011867736,2.9205258846189532,2.851811595735084
"Residential",1.6042574045295526,1.6369968470985987,1.745342637160985,1.6965263057354827,1.7211836839796752,1.755632641262992,1.7713621905398118,1.6724213324850594,1.6019259266854389,1.8739209699118484,1.7027426079095747,1.8223933310862745,1.6135236292922581,1.6668168105135248,1.8254556183043564,1.744269428420632,2.1712159930726256,1.8532045907517611,1.731258882542612,1.7713475662943128,1.7251723475837482,1.7971090268972845,1.7704164735849643,1.590895368962964,1.5175594559471155,1.6398763814363435,1.5389650529069356,1.6520944337936696,1.528074919731573,1.526723425637031,1.7193873610202222,1.7764094808674444,1.700809518318153
"Agriculture",0.03313514955410001,0.031916266226730806,0.032395729391104494,0.03933549584543031,0.04238490014708561,0.044315039763645314,0.04479369904218078,0.04990762916268618,0.044914745129434844,0.04548477575430064,0.040911851752803076,0.0467441093162044,0.050771210115956325,0.05414486366612016,0.05895499713318046,0.06142157636048501,0.06493004041025363,0.058819333957012235,0.05269536755241347,0.052816618015085526,0.06636606259107171,0.06690266055803638,0.07008794575575533,0.06617818689872648,0.06076192847707995,0.04513161797572022,0.04579073213743635,0.047346463280348715,0.05331911217530196,0.056751122890204064,0.06297288022760927,0.062457238115455394,0.06434601488274624
"Gross total",36.59889302586696,37.53717495955898,38.77118162676827,39.31084155110557,38.83697571483359,43.74891837345038,44.978889682506576,43.52805380401787,44.75817690633317,44.797484598843845,45.419628721268786,44.87996893312841,45.07717174547423,44.897011631656895,47.35391157829266,48.82258477706964,46.154338062435066,44.4896974856627,40.73066414488065,39.62811033120781,38.88359868071942,37.94941089411677,36.90666613786986,35.43779032000082,35.81756935609076,35.44429743564648,33.92727785949845,34.350990065501804,33.55219671812693,33.71216458201826,35.56901099053431,38.766519240547936,40.61649875986757
