"Arizona Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Transportation",23.65624655704817,23.715437854961383,24.58455620887633,26.03535372428171,27.134351652234432,27.760275347716036,29.599736587114414,31.384128530385073,32.24117685332837,34.16823195660785,34.721448618310696,35.66676797003146,36.91919373067156,37.7547895364974,38.10448416207814,39.48828457874044,40.08643855615834,39.546113444728086,36.78061225324721,33.980578541379785,36.36262214831467,35.788687937947685,35.10389848457847,34.38070395205272,35.64567157945921,36.31390050275422,37.23878729204767,37.49483268796917,38.49084113146176,39.26369021555876,35.65252244736517,39.97638643361554,39.34858782421022
"Electric power industry",33.688802982229376,33.94496158862254,36.610970382205196,37.7495932832405,39.18486762693191,33.36303665793704,33.32461991230816,36.06542056226634,38.53805025513627,40.870782474219496,45.814670596871835,47.02903593967848,46.11206504339747,47.30456484975767,52.993143870556295,52.09633845844199,53.972300326806284,56.434472169963534,58.90012299837399,53.66623855293748,55.68334452483357,53.566857527804245,52.536984206442675,56.025691652599214,54.36512506288798,50.82603557429225,45.30450635811784,44.5371764933882,47.51236185050141,44.143720273727595,36.10896640629973,34.83329582825067,33.2097865687658
"Industry",7.304266198627585,7.53685443656683,7.3858306939826734,7.602269242268838,8.130998611099667,8.621537798883264,8.892025041918211,8.866563905333866,8.929229435297795,8.753077245957709,8.668050803806754,8.454131005540537,7.959127493978259,7.954136507211357,8.69064348800774,8.98978643207128,9.517650410873891,9.301396711195032,9.194995213127271,7.7433351043791205,9.009824762156743,8.384545141424255,8.198225924664595,8.26093524732287,8.097574981482829,8.42638965993716,8.146886121898156,8.52993009291999,9.048820107185836,9.174493749495788,9.297104672934672,9.010317534378425,9.456066332042337
"Agriculture",7.8075173613391256,6.83996744656413,7.682016843500145,7.1852377135782115,7.2149108797872294,7.4212091136013445,7.413112404322471,7.632746633379846,7.843598029997474,7.913268254933932,7.304604242022658,7.645776045671591,7.49498472227016,7.77816092479284,7.97720712044096,8.056160035383089,8.283820764212303,8.273072919122239,8.842044286438032,8.404480252530464,8.457333649028978,8.088103957246492,8.368627956570325,8.382066522261145,8.359178563169175,8.527554558596908,8.311318395006683,8.244776803705804,8.42035451537065,8.324183744569078,7.568692961272905,7.79622759253062,7.648862823263214
"Commercial",6.089684716696066,6.187951866883524,5.910089713111813,5.971911952211387,5.983046370119826,6.002420467579568,5.900419431606846,6.133659988003883,6.064899945502521,6.4190459382936975,6.531080981130169,6.260397136968967,6.2730134516076905,6.311797831577754,6.569822157321565,6.702822675792496,6.602616860096114,6.692167621837718,6.855919178224127,6.742539944227165,5.659643216497486,5.6690882335043185,5.865397849190461,5.963255395859326,6.108590600993129,6.834023311295063,6.969409367735022,6.642203974292592,6.51302781324256,6.963625449271412,6.296839733070505,6.536661585779596,6.821036442965996
"Residential",1.9169605157521703,1.9925717389324733,1.8614332469129584,1.8101705948429145,1.896413397860305,1.907901393272773,1.896120762926142,2.1099058005424327,2.433770168416233,2.359764312506992,2.4293064786596177,2.436134720296321,2.4010235047597015,2.3553218493042896,2.4544809248436237,2.3514135314785656,2.3891360003684463,2.5386155095345186,2.7253817042967077,2.4668603109261973,2.662877673320413,2.78766300167673,2.5141675143688005,2.8956723335053427,2.5761898366094536,2.7434670550611884,2.8330619157138495,2.741830871192042,2.980438044615297,3.470233339327065,3.4384958166861765,3.556842867205847,3.7839467173193024
"Gross total",80.46347833169249,80.21774493253088,84.03489708858912,86.35453651042356,89.54458853803337,85.07638077899003,87.02603414019626,92.19242541991144,96.05072468767867,100.48417018251968,105.46916172080174,107.49224281818735,107.15940794668485,109.4587714991413,116.78978172324832,117.68480571190787,120.85196291851541,122.78583837638112,123.29907563370735,113.00403270638022,117.83564597415186,114.28494579960373,112.58730193581533,115.90832510360062,115.15233062460177,113.67137066193678,108.80396945051922,108.19075092346779,112.9658434623775,111.3399467719497,98.36262203762914,101.7097318417607,100.26828670856686
