"Wisconsin Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electric power industry",34.32353003444298,35.477892425936226,34.61171834181677,35.366614190323254,37.09399277461677,38.880716066114786,40.700273798117514,43.86128869952606,43.11743400727425,43.8619142042901,45.59946386156245,45.25006930119506,45.006213448462475,44.91917775604314,46.12898726773194,50.16551652862062,44.331083421131304,45.102495960536906,45.63998988593469,40.71764722681275,43.84835173080126,43.02099353486455,38.10697531052191,44.563419300627544,40.87867912556122,42.7424682502091,39.64311308127104,41.97180741444224,40.61428142230813,33.900177975640375,32.15439927326852,35.6979229662442,31.79403883123674
"Transportation",25.17896216644224,25.32295925470412,26.496913367581858,27.272689697423225,28.846248164698203,29.559500201808586,30.41229137436437,30.714192436942273,32.52271365737578,33.07820448797254,32.35064529713185,32.30413950078987,32.707243899986224,32.72640874999487,33.216512890055085,32.5484518301979,32.41070035883238,32.54539550600785,31.58573118586596,30.273799006233606,31.101553816205147,29.885846942413956,29.910853695637044,28.99872595754367,31.53197753282612,30.304141309923786,30.41639597829785,30.070084199439393,32.0895805249807,31.278319347906994,28.27612102049534,30.493266424710143,30.66106382317038
"Agriculture",21.45933470170751,21.13704754300786,20.237118840959457,20.3689403964517,19.87456087871513,19.632730719750242,19.21794354292931,18.84515677786318,19.486485182226858,20.793865957611654,20.379636012648696,20.70281090983554,21.00765758156424,19.43854922918733,19.40310503380897,19.434626387910445,20.258374679042454,20.602732046433168,20.093559810437526,20.329886075461022,21.338796342616796,20.882952927068715,21.05745072372939,21.783124351605256,22.82852725180893,22.9378703812715,23.1074823011861,22.770975181921703,23.742979130883118,22.750997974406424,22.178314316593884,22.49003693074354,22.325553930952662
"Industry",17.95526671805013,18.256049370461184,17.9080261870786,18.732823807367705,19.239228199753004,19.83453838787641,19.684968162616887,20.15960565376221,19.372726886852192,19.488082768182256,19.986328816683056,19.00570677970031,19.304045444516888,19.297316305412206,19.850615490716763,19.32004450845322,19.194889151627287,19.346648689171886,18.166307856062794,16.08101442554096,15.904616943668204,16.18449051886495,15.590976685852663,16.80159945300007,16.81691674624632,16.256321685705817,15.633860549759692,16.154426587896037,16.866750337999797,16.451630700556127,15.378740647907723,14.9773586507714,15.22050853716728
"Residential",9.620688105558592,10.392671238440585,10.02638539358191,10.56870555100697,10.119463929152529,10.41233759486652,11.690749022718594,10.551317199064192,9.095169491545851,10.17641421519852,10.441666147751405,10.004586822062718,10.673297879023522,10.822555429984344,10.398915001250455,10.24759283967182,9.312365343901968,9.822141409840562,10.511529116639585,9.686188962886856,9.097852231705653,9.423779485608357,8.108787317933226,10.359764926439109,11.040035129633905,9.597753232202807,9.367154882825536,9.611482276078242,10.72502593553161,11.697342378565532,10.593032728129902,10.493088460682543,11.625471714693026
"Commercial",9.34828939054804,9.939733602855437,10.007765670421573,9.998720203750375,9.855667559626722,10.23750402409326,11.335223207549143,11.39393861752479,10.808513860991711,10.48171310262547,10.363744755222985,10.162910826279392,10.394850447343298,10.755346327498053,10.45548142787671,11.012459168509773,10.189319970145881,10.401053228961556,11.218793581860226,10.449242488723398,8.493141518926578,8.72537220209333,8.00391901651917,9.172747178703355,9.518274487352931,9.105068524638705,8.919648051465122,9.102750882367513,9.45952317508981,9.550052578779257,8.982627518453072,9.461709652130342,10.405880185719822
"Gross total",117.88607111674949,120.52635343540541,119.28792780144016,122.30849384632324,125.02916150656236,128.5573269945098,133.0414491082958,135.5254993846827,134.40304308626665,137.88019473588054,139.12148489100045,137.4302241398629,139.0933087008966,137.95935379811993,139.45361711143994,142.72869126336377,135.69673292468127,137.82046684095195,137.21591143680078,127.5377781856586,129.78431258392365,128.12343561091384,120.77896275019341,131.679381167919,132.61441027342943,130.9436233839517,127.08765484480531,129.68152654214512,133.49814052679315,125.62852095585471,117.56323550484844,123.61338308528218,122.0325170229399
