"Washington Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Transportation",34.834589045236115,33.834405146943105,37.84964387269814,36.43207671732451,37.9944721947045,39.48760421986876,39.79937636285209,38.4350081594069,37.61316664613952,40.36204703929543,41.47048624298828,39.81022926762743,38.96843852945042,38.67913705209813,39.51882756760726,39.55190519417159,39.88368836174897,41.11131673469716,37.838551223405545,36.912235384079885,35.09810406428727,34.8497289483193,34.74041326395191,35.6786230141031,35.232764132341245,35.84939527600298,37.942340342024295,38.30304407270066,39.09682332114577,39.98942048874518,31.30855519786337,38.05190355523062,38.19044228660887
"Industry",27.730338099687557,27.122057264227873,28.799940514720973,27.366866226333745,28.27426385178697,28.180208149109927,29.71580879869471,28.22002783686644,33.06145532284664,33.39372970168019,27.48578579332822,18.024297962699812,17.910421185687984,16.823695315907393,17.356342944262913,18.51782950307837,18.67183416009412,19.318702953698086,18.936062799643004,17.381485609399082,16.46176659078359,16.266390445836326,16.670901789755785,16.61180274312058,16.36657521764675,17.089518935757482,16.583396767033932,15.704280475522774,15.946476688496555,15.878689312495096,14.533936630201305,13.696535445390868,13.92448684590603
"Electric power industry",8.684985967241722,9.024868978161447,11.176165962565578,11.338674912356234,12.952638375595681,9.325813652510215,11.683876572720765,9.831168446680334,12.67943379787232,11.42161379607402,14.965655462877661,14.90466951411129,12.34897514804152,14.947715110999493,14.856471933334033,14.88238460183217,10.311635350937902,12.644983089295863,13.503364817854482,13.333788599526338,13.782982536411767,8.08984006321981,6.859062805397654,12.34299549438288,12.348295368818745,11.46417085618608,10.156809374283466,10.994794056046139,10.680255633443785,14.459174506399089,11.520079287919682,10.37263407938874,10.011772900547566
"Agriculture",8.703561844950638,8.289925914900243,8.513946210260716,9.136047525409815,8.88123040742651,8.769345384734969,8.328242244843514,8.12910458675761,8.587726710117272,8.28711219510865,8.451886279228049,8.840900685683076,8.347561374552466,8.546379480700141,8.712076177725455,8.393652016995286,9.24232049487069,9.44185691184082,9.167526335298096,9.939825574325475,9.447037864531751,9.4357837768926,8.860751358336474,9.036475332552667,9.96542209756763,9.180679476384878,8.823708417760537,8.941122496715556,9.55619765090019,9.85746273970702,9.812417057060566,9.521794852072023,9.316974028105014
"Commercial",6.640494052954156,6.683510675297327,6.289994561498258,6.443207136159032,6.690012058860713,6.9010397880245735,6.919490649469688,6.973032412664928,6.493624277397122,6.780873314909319,6.786304429781498,7.092198566511514,6.6680923060234845,6.583730702539398,6.783668749388329,6.860652148718081,7.0262009174325275,7.165808073435358,7.597795505519968,7.572690440289592,6.894727324154155,6.792777909786132,6.581046150356752,6.831857812662697,6.727377794458491,7.366609253109642,7.5443318119459,7.986934096966191,8.139129981473596,8.472880628860278,8.25085532779349,8.412686863070963,8.826692485028936
"Residential",3.672248619837879,4.004677397898493,3.6237682911003914,4.275004780608114,4.302214811089308,4.343886704412102,5.01241378116403,5.115199737905559,4.990883017998469,5.556680426488307,5.511444683343228,6.401228761184324,5.883167010033221,5.32823137851717,5.289514082975285,5.263897800619333,5.363870377197967,5.529585568982497,5.88188303904077,6.038479143352659,5.614360538823335,6.164174620764613,5.614891605313724,5.913104738351088,5.781312199096032,5.471377338467852,5.916410258098564,6.9546967887545055,6.5632321644145435,7.194060576498457,6.891158006518011,7.251718204095868,7.603865166119887
"Gross total",90.26621762990806,88.95944537742848,96.25345941284405,94.99187729819145,99.0948316994637,97.00789789866054,101.45920840974479,96.70354118028177,103.42628977237133,105.80205647355591,104.67156289154694,95.07352475781745,90.12665555378909,90.90888904076172,92.51690145529327,93.47032126541484,90.49954966228219,95.21225333194978,92.92518372076186,91.17850475097303,87.29897891899188,81.59869576481879,79.32706697311231,86.41485913517302,86.4217468099289,86.4217511359089,86.9669969711467,88.88487198670582,89.98211543987445,95.85168825270513,82.31700150735642,87.30727299924908,87.8742337123163
