"Alabama Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electric power industry",52.62302763824099,56.64822489278343,59.6453247037306,65.39823910106767,61.266686082245144,66.93342025919338,72.21898814409391,70.36305166316318,72.37039202235782,73.67814673597941,78.72910766496828,75.81272620331268,79.49766244536687,80.40352755438417,79.82782353745905,83.65110139511835,85.82559445862321,88.11406905488428,83.13085102182393,68.04117502454505,78.57955575833212,75.72934384645225,67.98985741958245,65.77378073636987,66.59565933723567,63.36516823245575,56.48662331737641,51.83551640057171,54.71974763363788,49.24564905035774,43.455742648935775,48.023805719876215,51.08366684801707
"Transportation",27.70864366177138,27.562540117585247,28.69491391223393,29.12583340237756,30.94406192146437,32.72662550996061,32.11020526280506,31.75793571217558,33.554966348340905,33.761959539361,34.56721136025401,32.64668777137047,34.02268661839646,33.784824048160935,34.443697838873234,34.582621507816455,34.6515426505141,35.52620726435347,32.73486912110953,31.519514094208688,32.699120967291464,32.32501598017414,31.83979680319008,31.25602976408236,31.845918210505154,32.39462672760448,34.20901592695446,33.135454508084685,33.23864070345229,33.678065198069596,33.707265164360614,38.15901683299297,37.38321256689494
"Industry",54.040775589051286,53.99670656909535,54.93791783834607,50.94351449738759,54.72921642046892,58.280721359302056,57.16121386110985,55.89103080423256,56.8008211461883,58.25429182764542,58.95103079644789,49.1429747000288,43.96715581753969,44.89504944490056,44.738062024361085,41.49206498303097,41.005527999822675,40.78728587951851,42.08017693083004,37.37227421443384,36.285848851266884,35.105594827146575,36.51021989212967,36.98609954858492,37.688208674799505,34.40447576657951,32.918465437075966,33.188335785723666,34.620510672245025,32.72999739655698,31.310963932590514,32.79957492088378,30.74428792011201
"Commercial",4.944208018219682,4.42132004546329,4.429119118805568,5.052581176211346,5.10056378040466,5.0451233025283395,5.136076266293494,5.825164755229801,5.226551148926549,5.280760278576436,5.483595522720703,5.291966780171161,5.177362479552315,5.162467520376356,5.305979363792204,5.01166540128138,5.343900148233385,5.361836290017288,5.431702522321691,5.926505879675867,6.51948520780193,6.539328282067195,6.412132087187621,6.534390808662705,7.012203304095129,7.001076693425606,7.03219297516149,7.080198258796087,7.5732293771899695,7.762474316870408,7.742057883129506,7.426167247221974,7.673952066868133
"Agriculture",6.914444700991261,6.713861155121444,6.636900555885078,6.693299453396303,7.024889241132568,7.032760363206827,6.916972883621984,6.5317971104403325,6.410426644674289,6.255142240695286,5.948929418051884,6.016991605900963,5.8841170025639675,6.088777041107693,6.197030009934473,6.063322113704987,5.862159798743324,5.958626738187364,6.116170885885251,5.7092862799736706,5.501800035557302,5.517720491067019,5.529218346970367,5.719959921027628,5.465113142752589,5.40923522252347,5.392381127737217,5.730827425100406,5.757171853462787,5.573215884518389,5.648828423495922,5.498860984072632,5.384920083190786
"Residential",3.2596335081809453,3.1961659360930845,3.397601247685266,3.5672602090000187,3.450094750421644,3.5777483619443355,4.015025819291093,3.5881366828352794,3.3447639295157727,3.566156453031596,3.934234571944216,3.7690231195470023,3.462568995944754,3.2874353856376586,3.1715948298578382,2.8847197986593396,2.6828249077391852,2.5662592598169116,2.7502979038858637,2.7549704957278305,3.1652385217108074,2.677663127225033,2.106842771144119,2.5931579364593,2.874583905659561,2.562860438509664,2.3150217307553835,2.201387702670237,2.7489008736250105,2.588142763108993,2.5011580121208326,2.7771652973231102,2.7591475999188635
"Gross total",149.49073311645554,152.53881871614183,157.7417773766865,160.78072783944046,162.5155121961373,173.59639915613556,177.55848223721537,173.95711672807673,177.70792124000363,180.7964570752891,187.61410933438697,172.68037018033107,172.01155335936406,173.6220809945674,173.6841876042779,173.6854951996115,175.3715499636759,178.31428448677786,172.24406838585634,151.32372598856495,162.7510493419605,157.89466655413221,150.38806732020433,148.86341871518675,151.4816865750476,145.1374430810985,138.35370051506092,133.1717200809468,138.65820111361296,131.57754460948212,124.36601606463316,134.68459100237067,135.0291870850018
