"Wyoming Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electric power industry",40.4971849032424,39.547828333428086,43.29345204957945,41.18233022642403,43.22022987314993,40.6381011790634,41.42061553783652,41.054123189784896,45.56392348571659,43.80218403573083,45.18297195789829,45.17353106620563,43.716620979823375,44.91858018090912,45.45687982392424,44.65998156582288,44.27888981621004,44.761602813820026,45.2439703398297,43.11958765090563,44.053183461541366,42.275439720106306,44.6055133167558,47.53270441830313,44.46988512877335,44.62366375292765,41.50683358082182,41.6645465328262,41.46615643299936,37.15698044983606,35.96603093107595,34.77551121427405,36.24421028101114
"Industry",24.311196488803656,24.232786055202606,26.349846380408415,24.50251574785405,25.653548895226873,25.903370895583958,26.10045207273804,26.981009204335464,28.650069232674493,29.12138413380651,32.43057586358899,34.46135556788674,34.82314129460198,35.21183546295459,36.57287249339068,37.31143614863624,40.14785975811477,41.91679488894485,42.96683091335658,40.798186761564885,40.7132444140383,41.91380239814438,38.967197695491514,37.34915844396161,35.67172311650441,33.808400324375846,31.322225486881937,31.74050913898641,33.437614457606465,31.2355463339676,31.33227068096951,31.03195039164725,29.372283029451253
"Agriculture",7.70575054423923,7.5324827775017855,7.760473960312854,8.433998434618184,8.726981559306028,8.890023284576698,8.768156289738942,9.7400438868441,9.497023144544775,8.47867629959825,8.210533616062902,8.429851471945305,8.318691371527699,7.926311358900566,8.240075326804963,8.063640158655554,8.259613095872984,8.822892233541626,8.420933380348574,8.589370269206581,8.37254022404353,8.806759363081648,8.27010574079054,9.168066370660583,9.640934926060723,8.957920950898268,8.459944827868046,9.265242248178271,8.912495320444373,9.410760076514661,8.458329841206911,8.722726517718538,8.557221344506225
"Transportation",5.284513759450838,5.161016317509673,5.483655077819297,5.896515338862539,5.799334885480506,6.195988690342442,6.607971227543234,6.769778639097003,7.097413200398033,8.289247468540141,7.390697579983428,7.775816212901665,7.576318791760514,7.505923715350045,7.8289947147759875,7.955342938427557,8.117442432632561,8.570187738352086,8.583972526382354,7.986152519307784,8.257190360960719,7.577797657879558,8.069433913663172,7.95622014360178,7.925260056068194,7.528827658614327,7.312081480984803,7.173024463191373,7.526353041480943,7.425477266435742,6.994400614917765,7.300548671811834,6.920055478545672
"Commercial",1.1034870637967744,1.2025289334297344,0.9874603458380219,1.189196924436121,1.2229730633314497,1.1482351248758749,1.5192682949262255,1.1290438145390564,1.1043902124967317,1.0688050935104803,1.1777089648273924,1.1903423480111681,1.1363725854370805,1.1008549772018246,1.1377624843572791,1.1448626015398067,1.2244035042944705,1.3685649006876972,1.3450817889073403,1.2872051948493866,1.382094493206771,1.6680751535615554,1.4431969181530295,1.6218793445610733,1.458135991509217,1.5172557876656472,1.49283234493701,1.3765005145543976,1.3110562929156806,1.3361141752528956,1.238501269079242,1.2784223870308704,1.4467454812329037
"Residential",0.8450583046306024,0.9006267917575278,0.7841594561667864,0.8960819003904564,0.8382880826794501,0.8842944347754256,0.9804336406469504,0.8380979613261194,0.8050688555642769,0.7903195608310369,0.8556423365467046,0.8235191880514112,0.9360414273089741,0.8613152545554568,0.858675410338298,0.8470539688822121,0.8351466722574761,0.968332706635309,1.0011511027768334,0.9859920379385334,0.9688672892656683,1.0097257350501763,0.8536088200821744,1.0010746732609448,0.9919752425083943,0.8851778519013606,0.9387199713102542,1.023638530629888,1.047749033319605,1.1288709199705065,1.0265877397794185,1.046180561088117,1.1007271739497153
"Gross total",79.74719106416349,78.57726920882942,84.65904727012482,82.10063857258538,85.46135635917425,83.66001360921781,85.3968970634299,86.51209669592663,92.7178881313949,91.55061659201725,95.24813031890771,97.85441585500192,96.50718645045964,97.52482094987158,100.09526025359145,99.98231738196426,102.8633552793823,106.40837528198159,107.56194005160137,102.7664944337728,103.74712024305636,103.25160002782364,102.20905640493623,104.62910339434913,100.15791446142428,97.3212463263831,91.03263769280386,92.24346142836653,93.70142457876644,87.69374922197748,85.01612107702879,84.15533974357068,83.64124278869693
