"Arkansas Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electric power industry",22.137074688721697,22.15002218050365,22.520070298299096,20.127384874816745,22.344649494222885,24.249560964523894,26.467607995448123,24.782821340010067,26.42017200786498,27.550265075329268,27.163620050736785,27.73344824328033,26.32996591391229,27.12918800782346,28.032998575937793,26.13053533086716,28.22341308697417,29.415658055106277,29.83160355459343,29.669411468332463,33.23841494266882,35.10335225849718,35.4286185631144,36.4993497812805,36.47399047264205,27.791003398135558,31.043912657118632,32.6496693340576,37.595079080910544,31.745144360243675,23.00721465234506,29.06110350462333,30.942852137620594
"Transportation",17.137568133789333,17.03565101915075,17.42876057651682,17.97374953996495,19.07076700399167,19.574719679924176,20.015073645899818,20.679443309269214,21.01748022827918,22.17372095790745,22.365904986420574,20.89792179528102,20.75435772792304,21.20991711394842,20.792096065572416,21.156617784492823,21.32545060230787,21.611496313949992,20.354557453782014,19.879109711192946,20.154133763871183,19.587969045006137,19.60284818960883,19.084383209266278,19.795439018052516,19.17121763806667,19.897537088663405,20.01995916565098,20.207291695119856,20.264227162915677,19.123502706991815,20.392300029783527,19.993753428433717
"Agriculture",17.010594944468767,18.28917247689309,16.721251553849967,18.058787130692913,17.864077142040667,18.154018305605014,18.09190702335669,17.85871578103986,19.145908891211842,18.31658908818481,19.01065984704278,18.19997942745779,18.43294061443275,18.828951851280436,20.06019122544771,21.585912987416197,21.029253160780005,20.44596313178598,19.339345672010044,19.45648440508539,21.176894271092436,19.329376826562086,19.034257370335627,17.302315931810234,18.273831870787543,18.55019548735768,19.372934159113946,16.57639094086619,19.40679178205774,17.067086846117753,17.6319142239092,17.707027248298587,17.63267045750518
"Industry",18.922014713095386,17.675299820385558,18.981743458321834,19.253095522409108,20.133554803062477,20.829164289102057,20.713747518041842,21.073628536343445,21.090364167819903,20.538360174383534,20.909538958576125,20.60073633766035,20.33136252616082,19.912088515558608,19.225013441261176,15.80604610734579,16.659228535434615,16.70444338902127,17.56568089877886,16.74587669257652,17.488803335076593,18.227809708657375,17.145900472277035,16.869607495330424,17.39475289632439,16.013468772957317,14.604147128854429,16.07843584664026,15.435613116470098,14.750320324270522,13.280505811684248,12.859810416864262,12.901249881716074
"Commercial",3.100687137475523,3.3812380698877162,3.5052731528100205,3.3450535010942115,3.578981256113034,3.6314402466619993,3.8481102965718685,3.60910197328037,3.412322364128285,3.4458131250599777,3.585821794960863,3.59024623517916,3.5914385219466167,3.679674380665727,3.5976990291442426,3.7064260124389943,3.60353731587264,3.626392789266507,4.159978351062564,4.422617201749764,5.406476266932105,5.274271880091439,5.199980046221574,5.419325116974476,5.690323529825813,5.7282489378941515,5.433048671290942,5.458460942620002,5.81635539464937,5.947774914837781,5.765739346681256,6.102473424897037,6.021157824973842
"Residential",2.5745619359765786,2.6373298233106905,2.5166678585006785,2.905181835604293,2.70212142099418,2.8476149874125016,3.010759124582011,2.780970884146905,2.4758555336703734,2.8041601807507264,3.0672919095964026,2.790711607155965,2.7464988554489933,2.6021416578115164,2.3595033283035427,2.2838909315429614,2.20545778195878,2.240475048451271,2.5106171564722874,2.4237173285401554,2.562610443698495,2.394508395935639,1.9041855006552455,2.5190628412780884,2.690365040706704,2.3529569727792494,1.9738578180806867,1.885564598800854,2.4872817088224797,2.451828966419317,2.279044047971132,2.533745282618698,2.483728284854748
"Gross total",80.88250155352726,81.16871339013146,81.67376689829841,81.66325240458222,85.69415112042492,89.28651847322963,92.14720560390036,90.78468182408987,93.56210319297456,94.82890860161575,96.10283754733352,93.81304364601462,92.1865641598245,93.36196152708817,94.06750166566687,90.66942915410392,93.0463404833281,94.04442872758129,93.76178308669921,92.59721680747722,100.02733302333962,99.91728811474985,98.3157901422127,97.69404437594001,100.31870282833903,89.60709120719063,92.32543752312205,92.6684808286359,100.94841277803008,92.22638257480472,81.0879207895827,88.65645990708545,89.97541201510415
